time,value
2025-02-01 17:19:54.899671+00:00,2283
2025-02-01 17:19:59.754542+00:00,4095
2025-02-01 17:20:04.934972+00:00,3345
2025-02-01 17:20:09.984187+00:00,2267
2025-02-01 17:20:14.795808+00:00,2265
2025-02-01 17:20:19.802045+00:00,2284
2025-02-01 17:20:24.781460+00:00,2281
2025-02-01 17:20:29.953014+00:00,2279
2025-02-01 17:20:34.975355+00:00,3276
2025-02-01 17:20:39.960594+00:00,2694
2025-02-01 17:20:44.895359+00:00,2268
2025-02-01 17:20:49.806240+00:00,2480
2025-02-01 17:20:54.950523+00:00,4095
2025-02-01 17:21:09.973820+00:00,2485
2025-02-01 17:21:24.927105+00:00,2659
2025-02-01 17:21:39.792653+00:00,3250
2025-02-01 17:21:54.915771+00:00,3772
2025-02-01 17:22:09.781848+00:00,4095
2025-02-01 17:22:24.936066+00:00,2377
2025-02-01 17:22:39.811738+00:00,2288
2025-02-01 17:22:54.771399+00:00,2282
2025-02-01 17:23:09.809971+00:00,2281
2025-02-01 18:13:30.312002+00:00,4095
2025-02-01 18:13:30.335639+00:00,4095
2025-02-01 18:13:30.343851+00:00,4095
2025-02-01 18:13:30.354066+00:00,4095
2025-02-01 18:13:30.370574+00:00,4095
2025-02-01 18:13:30.386083+00:00,4095
2025-02-01 18:13:30.402144+00:00,4095
2025-02-01 18:13:30.416736+00:00,4095
2025-02-01 18:13:30.432295+00:00,4095
2025-02-01 18:13:30.447542+00:00,4095
2025-02-01 18:13:30.462821+00:00,4095
2025-02-01 18:14:42.543935+00:00,4095
2025-02-01 18:14:42.559703+00:00,4095
2025-02-01 18:14:42.575310+00:00,4095
2025-02-01 18:14:42.589660+00:00,4095
2025-02-01 18:14:42.636115+00:00,4095
2025-02-01 18:14:42.651612+00:00,4095
2025-02-01 18:14:42.665616+00:00,4095
2025-02-01 18:14:42.681210+00:00,4095
2025-02-01 18:14:42.696597+00:00,4095
2025-02-01 18:14:42.710292+00:00,4095
2025-02-01 18:14:42.725522+00:00,4095
2025-02-01 18:15:06.944168+00:00,2000
2025-02-01 18:15:06.984424+00:00,2000
2025-02-01 18:15:07.004674+00:00,2000
2025-02-01 18:15:07.012808+00:00,2000
2025-02-01 18:15:07.028337+00:00,2000
2025-02-01 18:15:07.043344+00:00,2000
2025-02-01 18:15:07.057561+00:00,2000
2025-02-01 18:15:07.072111+00:00,2000
2025-02-01 18:15:07.087304+00:00,2000
2025-02-01 18:15:07.102886+00:00,2000
2025-02-01 18:15:07.118181+00:00,2000
2025-02-01 18:19:35.044356+00:00,4095
2025-02-01 18:19:35.059574+00:00,4095
2025-02-01 18:19:35.072847+00:00,4095
2025-02-01 18:19:35.088770+00:00,4095
2025-02-01 18:19:35.103361+00:00,4095
2025-02-01 18:19:35.120445+00:00,4095
2025-02-01 18:19:35.136625+00:00,4095
2025-02-01 18:19:35.151718+00:00,4095
2025-02-01 18:19:35.168153+00:00,4095
2025-02-01 18:19:35.182458+00:00,4095
2025-02-01 18:19:35.196921+00:00,4095
